surface,tab,group,label,stable_command_id,aliases,visible,implementation_status,availability_reason,required_document_or_selection,controller,engine_operation,input_dialog_or_preset,output_or_state_change,undo_contract,dependency,source_location,test_or_repro,implementation_commit,review_status,evidence_path
ribbon,Home,File,Save,save,,true,implemented+available,Open a PDF with a file path; refused read-only (Save As stays available),Open a PDF,HomeController,IPdfEditorEngine::embedAnnotations incremental writeUpdate (AR-7 D1),None,In-place incremental save; annotations embedded; undo stack setClean; session clean,Save itself not undone; history preserved,Writable file path,"src/shell/controllers/HomeController.cpp:79-80,126-235",Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,Home,File,Save As,saveAs,"save-copy (menu local, MenuBar.cpp:197-200)",true,implemented+available,Open a PDF,Open a PDF,HomeController,IPdfEditorEngine::embedAnnotations to new path (+.ann sidecar copy),Save-file dialog,New PDF written; open document NOT rebound; full rewrite invalidates signatures (warned ER-4),None (new file),None,"src/shell/controllers/HomeController.cpp:82-83,237-292",Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,Home,File,Print,print,,true,implemented+available,Open a PDF,Open a PDF,HomeController,QPdfDocument render to QPrinter,System print dialog,Printed pages; no document change,None,Printer installed,"src/shell/controllers/HomeController.cpp:85-86,454-461",Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,View,Zoom,Zoom In,zoomIn,,true,implemented+available,Open a PDF,Open a PDF,ViewController,viewer zoom,None,Zoom level increased (view only),None (view state),None,src/shell/controllers/ViewController.cpp:24-102,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,View,Zoom,Zoom Out,zoomOut,,true,implemented+available,Open a PDF,Open a PDF,ViewController,viewer zoom,None,Zoom level decreased (view only),None (view state),None,src/shell/controllers/ViewController.cpp:24-102,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,View,Zoom,Actual Size,actual,,true,implemented+available,Open a PDF,Open a PDF,ViewController,viewer zoom,None,Zoom set to 100% (view only),None (view state),None,src/shell/controllers/ViewController.cpp:24-102,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,View,Zoom,Fit Width,fitWidth,,true,implemented+available,Open a PDF,Open a PDF,ViewController,viewer zoom,None,Fit-width zoom (view only),None (view state),None,src/shell/controllers/ViewController.cpp:24-102,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,View,Zoom,Fit Page,fitPage,,true,implemented+available,Open a PDF,Open a PDF,ViewController,viewer zoom,None,Fit-page zoom (view only),None (view state),None,src/shell/controllers/ViewController.cpp:24-102,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,View,Layout,Single Page,single,,true,implemented+available,Open a PDF,Open a PDF,ViewController,QPdfView PageMode::SinglePage,None,Single-page layout (view only),None (view state),None,src/shell/controllers/ViewController.cpp:24-102,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,View,Layout,Continuous,continuous,,true,implemented+available,Open a PDF,Open a PDF,ViewController,QPdfView PageMode::MultiPage,None,Continuous scroll layout (view only),None (view state),None,src/shell/controllers/ViewController.cpp:24-102,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,View,Layout,Two Up,two,,true,implemented+available,Open a PDF,Open a PDF,ViewController,viewer two-page mode,None,Two-page spread (view only),None (view state),None,src/shell/controllers/ViewController.cpp:24-102,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,View,Layout,Presentation,presentation,,true,implemented+available,Open a PDF,Open a PDF,ViewController,fullscreen + 5s auto-advance timer + app event filter,None (Esc exits; click/space advances),Presentation mode entered/exited (view only),None (view state),None,"src/shell/controllers/ViewController.cpp:73-75,117-152,154-192",Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,View,Panes,Thumbnails,thumbs,,false,implemented+missing-context,Implemented-but-hidden: ThumbnailSidebar is the left Sidebar 'Pages' tab (Sidebar.cpp:85-94); thumbnail drag reorder wired to PagesController::onPageReordered (GpMainWindow.cpp:500-502). Wire target exists - see NOTES wire-up list: add Sidebar tab-raise API and connect,Open a PDF (pane populated),None for toggle (Sidebar QTabBar),viewer/thumbnail render (PDFium),None (pane toggle),Pane visibility; thumbnails visible,None (view state),None,src/shell/Sidebar.cpp:85-94; src/GpMainWindow.cpp:500-502; src/shell/RibbonModel.cpp:17-18,Probe screenshot view tab; TestOpenRouting-style UI test target,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,View,Panes,Bookmarks,bookmarks,,false,implemented+missing-context,"Implemented-but-hidden: BookmarkPanel is the left Sidebar 'Bookmarks' tab (Sidebar.cpp:96-99), backed by QPdfBookmarkModel. Side pane EXISTS (wire target): left Sidebar 'Bookmarks' tab. No public Sidebar API to raise a tab from the ribbon; menu mirror 'toggle-comments' is Disabled (MenuBar.cpp:106)",Open a PDF with an outline,None for toggle,QPdfBookmarkModel,None (pane toggle),Pane visibility,None (view state),None,src/shell/Sidebar.cpp:96-99; src/shell/MenuBar.cpp:106,Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,View,Panes,Comments,comments,,false,implemented+missing-context,Implemented-but-hidden: CommentsWidget is the left Sidebar 'Comments' tab (Sidebar.cpp:101-110) with filters/status/reply (CommentsWidget.h:38-109). Side pane EXISTS (wire target): left Sidebar 'Comments' tab. No public Sidebar API to raise a tab from the ribbon; menu mirror 'toggle-comments' is Disabled (MenuBar.cpp:106),Open a PDF (comments optional),None for toggle,annotation list + EditAnnotationCommand,None (pane toggle),Pane visibility,None (view state),None,src/shell/Sidebar.cpp:101-110; src/ui/CommentsWidget.h:38-109,Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,View,Panes,Layers,layers,,false,implemented+missing-context,"Partially implemented: right Sidebar 'Layers' tab lists OCG layers via IPdfDocumentIO::getLayers (Sidebar.cpp:196-210, IPdfEditorEngine.h:156). CAVEAT: unchecking an item only posts a status message - no engine set-visibility operation traced (Sidebar.cpp:200-209). Wire target: pane raise + engine layer-visibility op",Open a PDF with OCG layers,None for toggle,IPdfDocumentIO::getLayers (read only),None (pane toggle),Layer list visible; toggle currently cosmetic only,None,None,"src/shell/Sidebar.cpp:181-209,248-260; src/core/interfaces/IPdfEditorEngine.h:156",Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,View,Reading,Dark Mode,darkMode,,true,implemented+available,Always,None,ViewController (DarkMode case); MenuBar local,Theme::setMode cycle Dark-Light-HighContrast,None,"Application theme changed (app state, persists via QSS)",None,None,src/shell/controllers/ViewController.cpp:79-80; src/GpMainWindow.cpp:956-976,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,View,Reading,Eye Care,eyeCare,,true,implemented+available,Always,None,ViewController,viewer tint,None,Eye-care tint toggled (view only),None (view state),None,src/shell/controllers/ViewController.cpp:24-102,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,View,Reading,RTL,rtl,,true,implemented+available,Always,None,ViewController,QApplication::setLayoutDirection,None,App layout direction LTR/RTL toggled; persisted ui/rtl (AR-8 D6 shipped),None (toggle),None,src/shell/controllers/ViewController.cpp:86-98,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,View,Window,Split,splitWin,,false,planned-unimplemented,no implementation found after tracing (grep splitWin/split-window across src: no split-view implementation; only resources/icons/split-window.svg exists). Menu Window>Tile Windows also Disabled (MenuBar.cpp:127),Open a PDF,None,None,Split direction control (unspecified),Second synchronized view (target behavior),None (view state),None,src/shell/RibbonModel.cpp:19; src/shell/MenuBar.cpp:127,Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,View,Window,Compare,compare,"compare canonical (ToolId.cpp:163); menu Tools>Compare; compare (this id, View Window; same Compare entry route)",true,implemented+available,Open a PDF (pair picker inside),Open a PDF,HomeController (Watermark/Compare entry route) -> CompareMode workspace,CompareWidget side-by-side diff,Compare workspace: choose A/B documents,Comparison workspace shown (view only),None,None,src/shell/controllers/HomeController.cpp:118-120; src/shell/TaskNav.cpp:24; src/GpMainWindow.cpp:813-817,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,View,Window,New,newWin,,false,planned-unimplemented,"No multi-window implementation; menu File>New Window is Disabled by documented policy 'multi-window not shipped (ribbon: newWin)' (MenuBar.cpp:29,125). SetFullScreenMode is the only window-mode change traced",None,None,None,None,Second main window (target behavior),None,None,src/shell/MenuBar.cpp:29; src/shell/RibbonModel.cpp:19; src/GpMainWindow.cpp:786-798,Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,Edit,Text,Edit Text,editText,,true,implemented+available,Open a PDF,Open a PDF,EditController,IPageEditor::editTextInline via EditTextInlineCommand,EditToolBar text format; click text block -> multi-line input dialog,"Content-stream text substituted on page (PERSISTED source edit, not annotation)",Undoable (EditTextInlineCommand on shared QUndoStack),None,"src/shell/controllers/EditController.cpp:133-135,906-947; src/shell/EditPolicy.h",Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,Edit,Text,Add Text,addText,insertText (hidden planned duplicate; ToolId.cpp:201),true,implemented+available,Open a PDF,Open a PDF,EditController,AnnotationLayer text box annotation,Drag on page; inspector text edit,"Free-text annotation added (annotation, not source content); dirty+save via sidecar/embed",Annotation edits undoable via EditAnnotationCommand; placement not independently traced,None,src/shell/controllers/EditController.cpp:112-113,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,Edit,Text,Insert,addText,addText; textbox,false,obsolete-alias-duplicate,Duplicate of visible 'addText': no separate insertText implementation; ToolId.cpp:201 maps only addText; both intend ToolMode::AddTextBox (EditController.cpp:112-113). Canonical: addText,Open a PDF,EditController,AnnotationLayer AddTextBox,None,Text annotation added,Annotation undo path,None,src/shell/RibbonModel.cpp:20-21; src/core/ToolId.cpp:200-201,Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,Edit,Text,Delete,deleteText,,false,planned-unimplemented,no implementation found after tracing for text-block deletion (grep deleteText/DeleteText: none). Nearest implemented: Erase deleteObjectAt deletes the whole content object under a click (EditController.cpp:1112-1122); DeleteSelection removes selected annotation,Open a PDF + text under click,None,"IPageEditor::deleteObjectAt (nearest, whole-object)",None,Selected text block removed (target behavior),Not undoable today (erase is reload-based),None,src/shell/RibbonModel.cpp:20-21; src/core/ToolId.cpp (absent),Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,Edit,Objects,Image,image,editImage (same handler),true,implemented+available,Open a PDF,Open a PDF,EditController,IImageEditor listImages/moveImage/resizeImage/rotateImage/replaceImage/deleteImage,Select image overlay; context menu Rotate/Replace/Delete,Embedded image XObject moved/resized/rotated/replaced/deleted (PERSISTED); page backup guard EC03,Undoable (MoveImageCommand/ResizeImageCommand/RotateImageCommand/ReplaceImageCommand/DeleteImageCommand),None,"src/shell/controllers/EditController.cpp:136-139,957-1082",Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,Edit,Objects,Link,link,,false,planned-unimplemented,"Creation: no implementation found after tracing (no addLink/createLink op in IPageEditor/IImageEditor; grep none). Reading IS implemented: IPdfEditorEngine::extractLinks + viewer setLinkReader inject clickable URI/GoTo links (GpMainWindow.cpp:492-499, IPdfEditorEngine.h:172)",Open a PDF + target,None,extractLinks (read only),Link target dialog (unspecified),Clickable link annotation added (target behavior),Annotation undo path (target),None,src/shell/RibbonModel.cpp:20-21; src/core/interfaces/IPdfEditorEngine.h:168-172; src/GpMainWindow.cpp:492-499,Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,Edit,Objects,Attach,attach,,false,planned-unimplemented,"Adding: no implementation found after tracing (no addEmbeddedFile op; grep none). Reading/extracting IS implemented: Sidebar 'Files' tab lists getEmbeddedFiles and writes decoded bytes via extractEmbeddedFile (Sidebar.cpp:112-142, IPdfEditorEngine.h:152-155)",Open a PDF,None,getEmbeddedFiles/extractEmbeddedFile (read only),File picker (unspecified),Embedded file added to document (target behavior),None traced,None,src/shell/Sidebar.cpp:112-142; src/core/interfaces/IPdfEditorEngine.h:152-155,Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,Edit,Objects,Delete,deleteSelection,deleteSelection canonical (ToolId.cpp:212); menu Delete,true,implemented+missing-context,Open a PDF with a selected object,Select an object,EditController,viewer deleteSelectedAnnotation,None (acts on selection),Selected annotation removed,Annotation removal participates in annotation undo path (not independently traced),None,src/shell/controllers/EditController.cpp:155-158,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,Edit,Arrange,Align L,alignL,,false,planned-unimplemented,"no implementation found after tracing for object alignment (no align ops in AnnotationLayer/controllers; grep none). InspectorWidget exposes per-annotation style, not multi-select alignment",Open a PDF + multi-selection (does not exist yet),None,None,None,Objects aligned left (target behavior),Undoable command (target),None,src/shell/RibbonModel.cpp:21; src/core/ToolId.cpp (absent),Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,Edit,Arrange,Align C,alignC,,false,planned-unimplemented,no implementation found after tracing (same as alignL: no alignment implementation traced),n/a,None,None,None,Objects aligned center (target behavior),None traced,None,src/shell/RibbonModel.cpp:21,Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,Edit,Arrange,Align R,alignR,,false,planned-unimplemented,no implementation found after tracing (same as alignL: no alignment implementation traced),n/a,None,None,None,Objects aligned right (target behavior),None traced,None,src/shell/RibbonModel.cpp:21,Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,Edit,Arrange,Distribute,distribute,,false,planned-unimplemented,no implementation found after tracing (no distribution implementation traced; only resources/icons/distribute.svg exists),n/a,None,None,None,Objects evenly distributed (target behavior),None traced,None,src/shell/RibbonModel.cpp:21,Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
